rank,forma,colocacion,muestra,cubierto,gaps_servidos,exceso,n_gaps_error,densidad,incertidumbre_anchura_media,n_componentes_periodicas,conecta_a1,conecta_a2,mallabilidad,motivo_mallado
1,square,6,1,1.0,1.0,7.650688399514048,5,0.4150390625,0.07887636870145798,5,True,True,no_conexa,5_componentes_periodicas
2,square,12,1,1.0,1.0,4.503985750267584,6,0.50714111328125,0.049798544496297836,2,True,True,no_conexa,2_componentes_periodicas
3,hexagonal,2,0,1.0,1.0,8.594436638926291,6,0.42449951171875,0.07953131198883057,1,True,True,mallable,ok
4,hexagonal,10,1,1.0,1.0,16.69880393964359,8,0.5716552734375,0.12659171223640442,5,True,True,no_conexa,5_componentes_periodicas
5,hexagonal,11,1,1.0,1.0,14.201075839026974,8,0.5201416015625,0.23864242434501648,3,True,True,no_conexa,3_componentes_periodicas
6,rectangular,1,1,1.0,1.0,10.593223187672617,6,0.5333251953125,0.07652223110198975,3,True,True,no_conexa,3_componentes_periodicas
7,rectangular,7,0,1.0,1.0,15.701326395849232,7,0.34246826171875,0.10057073831558228,4,True,True,no_conexa,4_componentes_periodicas
8,rhombic,4,1,1.0,1.0,5.5949828906726,5,0.5103759765625,0.04515273869037628,2,True,True,no_conexa,2_componentes_periodicas
9,rhombic,10,0,1.0,1.0,14.184473399470898,12,0.3887939453125,0.13717642426490784,2,True,True,no_conexa,2_componentes_periodicas
10,rhombic,12,1,1.0,1.0,29.134751327864233,10,0.37371826171875,0.18194317817687988,3,True,True,no_conexa,3_componentes_periodicas
11,rhombic,13,0,1.0,1.0,8.424936919968408,7,0.35089111328125,0.06033027172088623,4,True,True,no_conexa,4_componentes_periodicas
12,oblique,7,1,1.0,1.0,7.758955070328205,8,0.375732421875,0.0699056088924408,2,True,True,no_conexa,2_componentes_periodicas
13,oblique,9,0,1.0,1.0,10.027396033819924,6,0.30889892578125,0.06863605231046677,3,False,True,no_conexa,3_componentes_periodicas
14,oblique,11,1,1.0,1.0,11.550866760208708,4,0.4423828125,0.10294318199157715,3,True,True,no_conexa,3_componentes_periodicas
15,oblique,13,1,1.0,1.0,9.567509401856821,1,0.456787109375,0.0972084105014801,2,True,True,no_conexa,2_componentes_periodicas
16,hexagonal1,10,0,1.0,1.0,24.890052710996255,11,0.323486328125,0.1690741926431656,4,True,True,no_conexa,4_componentes_periodicas
17,hexagonal1,11,0,1.0,1.0,2.7831325929567052,1,0.78057861328125,0.03741707280278206,1,True,True,mallable,ok
18,hexagonal1,13,1,1.0,1.0,5.224732767846671,7,0.6053466796875,0.04852160066366196,1,True,True,mallable,ok
19,hexagonal2,1,0,1.0,1.0,9.420662770137104,5,0.4459228515625,0.08310751616954803,2,True,True,no_conexa,2_componentes_periodicas
20,hexagonal2,3,1,1.0,1.0,14.551431886759616,6,0.24249267578125,0.12815618515014648,6,True,True,no_conexa,6_componentes_periodicas
21,hexagonal2,5,1,1.0,1.0,8.091024459201147,6,0.3236083984375,0.03866124898195267,3,True,True,no_conexa,3_componentes_periodicas
22,hexagonal2,7,1,1.0,1.0,11.749327631652228,8,0.39385986328125,0.11870202422142029,4,True,True,no_conexa,4_componentes_periodicas
23,hexagonal2,9,1,1.0,1.0,8.857384708316282,7,0.47296142578125,0.06024899333715439,3,True,True,no_conexa,3_componentes_periodicas
24,oblique,8,1,0.9953503098541319,1.0,7.857649079757039,8,0.5135498046875,0.04337933287024498,2,True,True,no_conexa,2_componentes_periodicas
25,square,5,1,0.9883572568377239,1.0,12.865068150772684,5,0.5296630859375,0.12770718336105347,2,True,True,no_conexa,2_componentes_periodicas
26,rhombic,8,1,0.9774943100846032,1.0,12.212325874494843,7,0.345947265625,0.13168302178382874,8,True,True,no_conexa,8_componentes_periodicas
27,oblique,4,0,0.9619311644568554,1.0,6.704569292170613,6,0.49102783203125,0.06201973930001259,3,True,True,no_conexa,3_componentes_periodicas
28,hexagonal1,14,0,0.9491171899985639,1.0,10.261806826681548,7,0.24774169921875,0.06595976650714874,3,True,True,no_conexa,3_componentes_periodicas
29,rectangular,4,0,0.9310922172661373,1.0,9.657334193378706,8,0.47039794921875,0.08125206083059311,1,True,True,mallable,ok
30,hexagonal1,5,0,0.9307311124518017,1.0,9.209047898355701,7,0.2962646484375,0.06547777354717255,4,True,True,no_conexa,4_componentes_periodicas
31,rhombic,6,1,0.8920112513703636,1.0,9.289893312029639,5,0.2728271484375,0.07606887817382812,4,False,True,no_conexa,4_componentes_periodicas
32,hexagonal1,6,1,0.881919998519818,1.0,9.269961984032536,8,0.39080810546875,0.057911794632673264,8,True,True,no_conexa,8_componentes_periodicas
33,hexagonal1,8,1,0.8705803387741821,1.0,7.449668470886887,7,0.69720458984375,0.05382637307047844,2,True,True,no_conexa,2_componentes_periodicas
34,oblique,0,1,0.8002154397515927,1.0,4.610358312709194,7,0.5599365234375,0.028033223003149033,3,True,True,no_conexa,3_componentes_periodicas
35,oblique,9,1,0.7932554797314091,1.0,12.912915376862482,9,0.437255859375,0.10775043815374374,2,True,True,no_conexa,2_componentes_periodicas
36,square,12,0,0.7793567628021312,1.0,7.960449833780648,8,0.41705322265625,0.040848176926374435,6,True,True,no_conexa,6_componentes_periodicas
37,rhombic,1,0,0.7716304484622529,1.0,5.286522017366434,5,0.562744140625,0.06936431676149368,1,True,True,mallable,ok
38,rhombic,7,0,0.7474962478564834,1.0,5.5430166420518105,8,0.51312255859375,0.050693780183792114,,,,no_evaluada,
39,hexagonal2,13,0,0.746977935788039,1.0,7.5842830495500255,8,0.44287109375,0.07305315136909485,,,,no_evaluada,
40,square,3,0,0.7418159250824236,1.0,4.628334763534399,5,0.48150634765625,0.03556974232196808,,,,no_evaluada,
41,rectangular,4,1,0.7382698832562291,1.0,4.730664392501065,3,0.2724609375,0.1133633628487587,,,,no_evaluada,
42,rhombic,12,0,0.7161486355472051,1.0,5.423516870318979,5,0.38238525390625,0.044543419033288956,,,,no_evaluada,
43,hexagonal,0,0,0.7066183260569099,1.0,3.805803437412359,5,0.51702880859375,0.05068933591246605,,,,no_evaluada,
44,hexagonal2,14,0,0.7049378786097986,1.0,4.832217546775833,6,0.58746337890625,0.05774944648146629,,,,no_evaluada,
45,hexagonal,13,0,0.704174721831015,1.0,15.257067543302,5,0.39447021484375,0.16208826005458832,,,,no_evaluada,
46,hexagonal2,5,0,0.6977806955079889,1.0,6.512016482919823,8,0.27392578125,0.06431611627340317,,,,no_evaluada,
47,square,9,1,0.6854735157620451,1.0,9.994806355370226,8,0.714111328125,0.06885320693254471,,,,no_evaluada,
48,hexagonal,9,0,0.6481981360261222,1.0,13.061782792349769,9,0.604248046875,0.0778450146317482,,,,no_evaluada,
49,rectangular,8,1,0.6266523603098374,1.0,6.309147289103085,7,0.43170166015625,0.08775198459625244,,,,no_evaluada,
50,rectangular,11,0,0.6262726600876797,1.0,4.186881458217733,6,0.55462646484375,0.05918016657233238,,,,no_evaluada,
